Count,Year,JD,mm-dd,HR MIN,PPFD_in,PPFD^2,TA,TA^2,PPFD.x.TA,RH,WS,WD,P,kPa,Vol W C ,Soil T,G,RAD,NETRAD,Sonic T,USTAR,FC,SC,NEE,CO2,  H,  LE
39,2018,1,1-Jan,1830,0.2,0,-9.52,90.6,-1.904,41.9,2.11,289.9,0,102.7,0.054,2.08,-10.93,0.1,-72.5,,,,,,,,
40,2018,1,1-Jan,1900,0,0,-9.76,95.3,0,44.5,1.76,263.6,0,102.7,0.054,2.07,-10.95,0,-69.76,,,,,,,,
41,2018,1,1-Jan,1930,0,0,-10.13,102.6,0,46,1.66,283,0,102.7,0.054,2.07,-11,0,-66.9,,,,,,,,
42,2018,1,1-Jan,2000,0,0,-10.3,106.1,0,46.9,1.62,244.8,0,102.7,0.053,2.06,-11.06,0,-64.48,,,,,,,,
43,2018,1,1-Jan,2030,0,0,-11.03,121.7,0,49.9,1.38,227.2,0,102.7,0.053,2.05,-11.14,0,-62.96,,,,,,,,
44,2018,1,1-Jan,2100,0,0,-11.79,139.0,0,52.5,1.51,199.3,0,102.7,0.053,2.04,-11.23,0,-60.74,,,,,,,,
45,2018,1,1-Jan,2130,0,0,-12.21,149.1,0,56.9,1.78,221.3,0,102.7,0.053,2.03,-11.34,0,-61.51,,,,,,,,
46,2018,1,1-Jan,2200,0,0,-12.1,146.4,0,59.5,1.95,229.8,0,102.7,0.053,2.01,-11.44,-0.1,-61.98,,,,,,,,
47,2018,1,1-Jan,2230,0,0,-12.33,152.0,0,62,1.84,246.2,0,102.7,0.053,2,-11.55,-0.1,-61.99,,,,,,,,
48,2018,1,1-Jan,2300,0,0,-12.26,150.3,0,62.8,1.88,260.8,0,102.7,0.053,1.98,-11.65,-0.1,-62.07,,,,,,,,
49,2018,1,1-Jan,2330,0,0,-11.99,143.8,0,61.5,1.84,271.1,0,102.7,0.053,1.96,-11.75,-0.1,-59.84,,,,,,,,
50,2018,1,1-Jan,2400,0,0,-11.03,121.7,0,56.7,2.29,271.3,0,102.7,0.053,1.94,-11.84,0,-62.8,,,,,,,,
51,2018,2,2-Jan,30,0,0,-10.47,109.6,0,55.5,2.58,264.7,0,102.8,0.053,1.93,-11.93,0,-66.81,,,,,,,,
52,2018,2,2-Jan,100,0,0,-10.7,114.5,0,56.5,2.28,284.5,0,102.8,0.053,1.91,-12.01,0,-67.35,,,,,,,,
53,2018,2,2-Jan,130,0,0,-10.75,115.6,0,56.3,2.45,285,0,102.8,0.053,1.89,-12.06,0,-67.99,,,,,,,,
54,2018,2,2-Jan,200,0,0,-10.84,117.5,0,55.8,2.32,280.3,0,102.8,0.053,1.87,-12.1,0,-68.05,,,,,,,,
55,2018,2,2-Jan,230,0,0,-10.81,116.9,0,54.6,2.69,295.2,0,102.8,0.053,1.86,-12.13,0,-69.48,-9.96,0.488,0.955,,0.955,416.7,-45.606,-0.863
56,2018,2,2-Jan,300,0,0,-10.75,115.6,0,53.7,2.86,307.8,0,102.8,0.053,1.84,-12.15,0,-70.4,-9.91,0.576,1.214,0.641,0.573,415.45,-54.845,1.26
57,2018,2,2-Jan,330,0,0,-10.91,119.0,0,53.9,2.61,270.1,0,102.8,0.053,1.82,-12.16,0,-70.2,-10.05,0.558,0.894,0.264,0.63,414.65,-58.439,0.299
58,2018,2,2-Jan,400,0,0,-11.05,122.1,0,54,2.83,273.5,0,102.8,0.053,1.81,-12.17,0,-70.3,-10.19,0.516,0.883,0.103,0.781,414.21,-44.397,0.741
59,2018,2,2-Jan,430,0,0,-11.19,125.2,0,54.6,2.59,282.7,0,102.8,0.053,1.79,-12.17,0,-70.5,-10.34,0.558,0.772,-0.084,0.856,414.17,-58.54,0.364
60,2018,2,2-Jan,500,0,0,-11.21,125.7,0,54.9,3.1,303.1,0,102.9,0.053,1.78,-12.18,0,-70.4,-10.37,0.66,1.115,0.046,1.069,414.04,-45.503,-0.241
61,2018,2,2-Jan,530,0,0,-11.2,125.4,0,54.9,3.21,280.1,0,102.9,0.053,1.76,-12.18,0,-70.4,-10.36,0.611,1.089,0.094,0.995,413.86,-52.245,2.51
62,2018,2,2-Jan,600,0,0,-11.28,127.2,0,55.4,2.52,251.8,0,102.9,0.053,1.75,-12.18,0,-68.79,-10.42,0.513,0.596,-0.043,0.639,413.82,-46.486,-0.431
63,2018,2,2-Jan,630,0,0,-11.39,129.7,0,55.7,2.64,297,0,102.9,0.053,1.74,-12.19,0,-68.04,-10.55,0.528,-0.25,-0.376,0.127,414.43,-49.949,1.239
64,2018,2,2-Jan,700,0,0,-11.45,131.1,0,56,2.43,302,0,102.9,0.053,1.72,-12.2,0,-66.85,-10.59,0.491,0.663,-0.427,1.09,415.23,-47.643,-0.272
