Count,Year,JD,mm-dd,HR MIN,PPFD_in,PPFD^2,TA,TA^2,PPFD.x.TA,RH,WS,WD,P,kPa,Vol W C ,Soil T,G,RAD,NETRAD,Sonic T,USTAR,FC,SC,NEE,CO2,  H,  LE
1371,2018,29,29-Jan,1230,282,79524,5.09,25.9,1435.38,67.3,3.63,44.6,0,101.5,0.08,6.02,-0.94,134.7,81.2,6.24,0.752,0.205,0.465,-0.259,414.24,102.491,58.49
1372,2018,29,29-Jan,1300,615.9,379333,5.53,30.6,3405.927,66.8,4.76,67.2,0,101.5,0.08,6.07,-0.39,300.5,207.2,6.24,0.945,1.859,0.759,1.1,413.21,113.492,39.71
1373,2018,29,29-Jan,1330,598.2,357843,5.53,30.6,3308.046,66.8,3.95,42.9,0,101.5,0.079,6.11,0.27,288.4,194.3,6.38,0.933,1.106,0.258,0.848,412.62,114.557,25.089
1374,2018,29,29-Jan,1400,577,332929,5.67,32.1,3271.59,66.2,4.28,2.2,0,101.5,0.079,6.13,0.89,279.8,190.1,6.4,0.95,0.874,0.21,0.664,412.37,90.483,43.856
1375,2018,29,29-Jan,1430,426.1,181561,5.63,31.7,2398.943,66.8,3.67,41.6,0,101.5,0.079,6.14,1.34,203.3,137.9,6.35,0.785,0.825,-0.036,0.861,412.4,53.266,14.02
1376,2018,29,29-Jan,1500,272,73984,5.54,30.7,1506.88,68,3.92,37.9,0,101.5,0.079,6.15,1.55,128.8,85.2,6.12,0.87,1.262,-0.26,1.522,412.83,38.95,9.031
1377,2018,29,29-Jan,1530,239.3,57264,5.31,28.2,1270.683,68.6,3.74,51.3,0,101.5,0.079,6.15,1.53,113.1,72.6,6.01,0.779,1.044,-0.427,1.471,413.44,29.415,2.935
1378,2018,29,29-Jan,1600,181.4,32906,5.18,26.8,939.652,67.9,4.04,88.9,0,101.4,0.079,6.13,1.31,85.8,51.04,5.85,0.909,1.797,-0.184,1.981,413.65,13.265,0.332
1379,2018,29,29-Jan,1630,91.5,8372,5,25.0,457.5,67.6,3.9,39,0,101.4,0.078,6.11,0.97,41.4,18.37,5.79,0.88,1.535,-0.129,1.664,413.68,-1.712,9.69
1380,2018,29,29-Jan,1700,51.6,2663,4.92,24.2,253.872,67.9,3.37,49.5,0,101.4,0.078,6.09,0.56,23.4,4.28,5.7,0.737,1.382,-0.117,1.499,413.82,-6.558,6.235
1381,2018,29,29-Jan,1730,33.4,1116,4.83,23.3,161.322,67.7,3.36,29.8,0,101.4,0.078,6.06,0.13,15.4,-2.38,5.58,0.724,0.918,-0.11,1.028,413.92,-7.328,24.481
1382,2018,29,29-Jan,1800,16.7,279,4.71,22.2,78.657,66.7,3.01,354.1,0,101.4,0.078,6.03,-0.28,7.5,-10.76,5.39,0.694,-0.342,-0.518,0.176,414.89,-14.739,11.436
1383,2018,29,29-Jan,1830,3.8,14,4.51,20.3,17.138,66.8,2.98,44.6,0,101.4,0.077,5.99,-0.66,1.6,-16.46,5.2,0.588,1.445,-1.05,2.496,416.92,-18.661,6.24
1384,2018,29,29-Jan,1900,0.1,0,4.33,18.7,0.433,65.6,2.24,345.7,0,101.4,0.077,5.96,-1.02,0,-19.44,5.03,0.512,1.231,-0.237,1.468,417.18,-20.751,5.217
1385,2018,29,29-Jan,1930,0,0,4.15,17.2,0,65.1,2.15,41.8,0,101.4,0.078,5.93,-1.35,0,-19.91,4.88,0.489,1.414,-0.23,1.644,417.42,-19.146,4.603
1386,2018,29,29-Jan,2000,0,0,4.01,16.1,0,65,2.28,18.5,0,101.3,0.078,5.89,-1.64,0,-19.69,4.84,0.52,0.865,-0.287,1.152,417.85,-15.348,4.947
1387,2018,29,29-Jan,2030,0,0,3.97,15.8,0,65.4,2.7,26.8,0,101.3,0.077,5.86,-1.88,0,-20.38,4.91,0.708,2.244,-0.05,2.294,417.9,-23.345,17.249
1388,2018,29,29-Jan,2100,0,0,4.05,16.4,0,64.2,3.26,76.3,0,101.3,0.078,5.83,-2.09,0,-18.86,4.88,0.738,2.116,0.526,1.59,416.86,-18.353,5.635
1389,2018,29,29-Jan,2130,0,0,4.03,16.2,0,64,2.69,70,0,101.3,0.077,5.8,-2.28,0,-18.12,4.71,0.505,1.29,-0.058,1.348,416.95,-19.747,11.39
1390,2018,29,29-Jan,2200,0,0,3.85,14.8,0,65.4,3.21,25.3,0,101.3,0.078,5.77,-2.43,0,-21.65,4.48,0.687,0.938,-0.204,1.142,417.12,-9.47,-6.717
1391,2018,29,29-Jan,2230,0,0,3.62,13.1,0,67.7,3.07,60.6,0,101.2,0.077,5.74,-2.56,0,-27.46,3.93,0.651,0.203,-0.757,0.96,418.46,-9.375,-7.534
1392,2018,29,29-Jan,2300,0,0,3,9.0,0,74.5,2.16,57.1,0,101.2,0.076,5.71,-2.68,0,-53.19,3.5,0.406,0.983,-0.505,1.488,418.63,-6.583,0.892
1393,2018,29,29-Jan,2330,-0.1,0,2.58,6.7,-0.258,77.4,2.07,10.6,0,101.2,0.076,5.67,-2.79,-0.1,-32.21,3.18,0.36,1.197,-0.336,1.533,418.74,-16.675,8.884
1394,2018,29,29-Jan,2400,-0.1,0,2.25,5.1,-0.225,81.2,1.9,2.1,0,101.2,0.076,5.64,-2.92,-0.1,-33.84,2.56,0.446,0.763,-0.5,1.263,419.34,-17.934,1.862
1395,2018,30,30-Jan,30,-0.2,0,1.59,2.5,-0.318,87.7,1.46,32.5,0.254,101.2,0.077,5.6,-3.07,-0.1,-31.63,2.09,0.313,0.981,-0.842,,420.17,,
1396,2018,30,30-Jan,100,-0.3,0,1,1.0,-0.3,94.9,1.56,44.9,0.254,101.2,0.076,5.56,-3.26,-0.2,-26.8,1.74,0.297,0.777,-0.581,,420.55,,
1397,2018,30,30-Jan,130,-0.4,0,0.67,0.4,-0.268,97.7,1.5,3.4,0,101.2,0.076,5.51,-3.49,-0.3,-23.06,1.44,0.257,0.431,-0.477,0.908,421.07,-5.865,-0.597
1398,2018,30,30-Jan,200,-0.4,0,0.38,0.1,-0.152,98.7,1.34,34.2,0.254,101.2,0.076,5.47,-3.75,-0.3,-22.75,1.11,0.381,0.449,0.195,,420.21,,
1399,2018,30,30-Jan,230,-0.5,0,0.16,0.0,-0.08,98.9,1.39,348.7,0,101.2,0.076,5.43,-4.02,-0.3,-7.9,,,,,,,,
1400,2018,30,30-Jan,300,-0.5,0,0.02,0.0,-0.01,99.2,0.82,25.3,0,101.2,0.076,5.4,-4.27,-0.3,-2.57,,,,,,,,
1401,2018,30,30-Jan,330,-0.5,0,-0.05,0.0,0.025,99.3,0.99,28.8,0,101.2,0.076,5.36,-4.47,-0.3,-0.55,,,,,,,,
1402,2018,30,30-Jan,400,-0.5,0,-0.15,0.0,0.075,99.4,1.32,4.8,0,101.2,0.077,5.33,-4.62,-0.3,2.54,,,,,,,,
1403,2018,30,30-Jan,430,-0.5,0,-0.17,0.0,0.085,99.3,1.06,17.7,0,101.2,0.076,5.29,-4.73,-0.3,2.16,,,,,,,,
1404,2018,30,30-Jan,500,-0.5,0,-0.2,0.0,0.1,99.2,0.11,316.7,0,101.2,0.076,5.26,-4.81,-0.3,4.92,,,,,,,,
1405,2018,30,30-Jan,530,-0.4,0,-0.23,0.1,0.092,99.2,0.12,5.1,0,101.2,0.076,5.23,-4.87,-0.3,14.97,,,,,,,,
1406,2018,30,30-Jan,600,-0.4,0,-0.25,0.1,0.1,99.3,0.16,6.7,0,101.2,0.076,5.21,-4.92,-0.3,-1.36,,,,,,,,
1407,2018,30,30-Jan,630,-0.4,0,-0.46,0.2,0.184,99.3,0.12,353.2,0,101.2,0.077,5.18,-4.96,-0.3,-4.5,,,,,,,,
1408,2018,30,30-Jan,700,-0.4,0,-0.55,0.3,0.22,99.2,0.11,35.5,0,101.2,0.076,5.15,-4.99,-0.3,-5.42,,,,,,,,
1409,2018,30,30-Jan,730,-0.4,0,-0.72,0.5,0.288,99.1,0.24,4.5,0,101.2,0.076,5.13,-5.01,-0.3,-7.15,,,,,,,,
1410,2018,30,30-Jan,800,-0.2,0,-0.81,0.7,0.162,99.1,0.16,22.8,0,101.2,0.076,5.11,-5.04,-0.2,-5.77,,,,,,,,
1411,2018,30,30-Jan,830,4.4,19,-1.04,1.1,-4.576,98.9,0.44,329.7,0,101.3,0.076,5.09,-5.05,2.2,-9.35,,,,,,,,
1412,2018,30,30-Jan,900,18.6,346,-1.05,1.1,-19.53,98.9,0.63,0,0,101.3,0.076,5.08,-5.03,9.8,-5.44,,,,,,,,
1413,2018,30,30-Jan,930,70.8,5013,-1.04,1.1,-73.632,98.9,0.39,347.5,0,101.3,0.076,5.09,-5,42.2,-10.6,,,,,,,,
1414,2018,30,30-Jan,1000,147.5,21756,-0.76,0.6,-112.1,98.6,0.22,2.9,0,101.2,0.076,5.1,-4.91,94.9,-23.42,,,,,,,,
1415,2018,30,30-Jan,1030,173.4,30068,-0.52,0.3,-90.168,97.9,0.45,0,0,101.2,0.076,5.11,-4.73,90.1,-20.67,,,,,,,,
1416,2018,30,30-Jan,1100,157.1,24680,-0.35,0.1,-54.985,97.2,0.8,291.5,0,101.2,0.076,5.13,-4.48,74.1,-16.24,,,,,,,,
1417,2018,30,30-Jan,1130,221.6,49107,-0.14,0.0,-31.024,97.3,0.59,19.8,1.27,101.1,0.076,5.16,-4.16,112.4,-28.81,,,,,,,,
1418,2018,30,30-Jan,1200,270.4,73116,0,0.0,0,97.5,0.61,66.8,0.508,101.1,0.077,5.18,-3.74,131.6,-29.04,,,,,,,,
1419,2018,30,30-Jan,1230,376.1,141451,0.25,0.1,94.025,97.5,0.67,329.8,0,101.1,0.076,5.21,-3.23,179.4,86.8,0.91,0.2,-0.03,,,419.01,21.674,-2.893
1420,2018,30,30-Jan,1300,370.6,137344,0.48,0.2,177.888,97.2,0.73,329.8,0,101.1,0.076,5.22,-2.71,175.6,107.9,1,0.227,-1.505,0.051,-1.556,419.25,20.265,-4.026
1421,2018,30,30-Jan,1330,265.4,70437,0.57,0.3,151.278,97.5,0.9,315.9,0,101.2,0.077,5.22,-2.31,125.5,52.87,1.19,0.215,-1.609,-0.805,-0.804,421.16,23.068,-3.909
1422,2018,30,30-Jan,1400,182.9,33452,0.67,0.4,122.543,98.4,0.95,280.5,0.254,101.2,0.077,5.19,-2.09,87.4,35.14,1.48,0.292,-1.284,-0.672,,422.78,,
1423,2018,30,30-Jan,1430,126,15876,0.49,0.2,61.74,98.5,0.91,294.4,0.254,101.3,0.077,5.16,-2.19,59.8,-1.37,1.6,0.264,0.071,0.142,,422.19,,
1424,2018,30,30-Jan,1500,72.5,5256,0.07,0.0,5.075,99,1.1,292.7,0,101.3,0.078,5.13,-2.57,32.9,-4.16,1.76,0.277,0.545,0.258,0.287,420.99,15.424,1.46
1425,2018,30,30-Jan,1530,125.3,15700,-0.36,0.1,-45.108,99.1,2.93,279.6,0,101.4,0.078,5.09,-3.1,57.8,6.8,,,,,,,,
1426,2018,30,30-Jan,1600,93.7,8780,-0.56,0.3,-52.472,98.6,3.24,295.6,0,101.5,0.077,5.06,-3.63,44,22.57,,,,,,,,
1427,2018,30,30-Jan,1630,99.2,9841,-1.42,2.0,-140.864,97.7,3.64,286.9,0,101.5,0.077,5.02,-4.04,46.8,1.2,,,,,,,,
1428,2018,30,30-Jan,1700,71.2,5069,-1.91,3.6,-135.992,96.6,3.84,313,0,101.6,0.078,4.98,-4.37,33.4,-10.12,,,,,,,,
1429,2018,30,30-Jan,1730,55.1,3036,-2.39,5.7,-131.689,95.7,3.9,235.3,0,101.7,0.078,4.94,-4.63,22.9,-18.37,,,,,,,,
1430,2018,30,30-Jan,1800,19.7,388,-2.54,6.5,-50.038,95.4,3.14,302.3,0,101.7,0.078,4.9,-4.84,8.6,-25.57,,,,,,,,
1431,2018,30,30-Jan,1830,4.4,19,-2.36,5.6,-10.384,88.7,3.23,333.7,0,101.8,0.078,4.85,-5.01,1.9,-45.9,,,,,,,,
1432,2018,30,30-Jan,1900,-0.2,0,-2.48,6.2,0.496,77.8,3.94,305.4,0,101.8,0.078,4.81,-5.16,-0.1,-69.24,,,,,,,,
1433,2018,30,30-Jan,1930,-0.3,0,-2.77,7.7,0.831,73,3.58,22.5,0,101.8,0.078,4.77,-5.31,-0.2,-73.4,,,,,,,,
1434,2018,30,30-Jan,2000,-0.1,0,-2.71,7.3,0.271,66.7,3.7,290.3,0,101.9,0.077,4.73,-5.48,-0.2,-83.3,,,,,,,,
1435,2018,30,30-Jan,2030,-0.1,0,-2.8,7.8,0.28,66.6,3.36,233,0,101.9,0.078,4.68,-5.66,-0.2,-82.7,,,,,,,,
1436,2018,30,30-Jan,2100,-0.1,0,-3.01,9.1,0.301,64.3,3.99,330.9,0,101.9,0.078,4.63,-5.84,-0.1,-91.1,-1.92,1.299,11.236,,11.236,411.67,,
1437,2018,30,30-Jan,2130,0,0,-3.31,11.0,0,60.7,2.7,294.8,0,102,0.077,4.58,-6.04,-0.1,-109.2,-1.72,0.94,-0.147,0.367,-0.514,410.43,21.702,-27.452
1438,2018,30,30-Jan,2200,0,0,-3.7,13.7,0,62.5,2.8,298.6,0,102,0.076,4.53,-6.25,0,-98.9,-2.39,0.744,-0.204,-0.116,-0.088,410.08,-52.813,-5.237
1439,2018,30,30-Jan,2230,0,0,-3.95,15.6,0,61,3.67,334.2,0,102,0.077,4.48,-6.48,0,-95.1,-2.72,0.959,1.92,-0.433,2.353,410.64,-82.152,15.647
1440,2018,30,30-Jan,2300,0,0,-4.16,17.3,0,59.5,3.57,327.2,0,102,0.078,4.43,-6.69,0,-80.2,-3.09,0.951,2.362,0.014,2.347,410.27,-63.03,22.453
1441,2018,30,30-Jan,2330,0,0,-4.69,22.0,0,59,2.8,286.2,0,102,0.076,4.38,-6.9,0,-86,-3.72,0.891,2.392,-0.325,2.717,410.17,-59.466,7.906
1442,2018,30,30-Jan,2400,0,0,-5.24,27.5,0,59.1,2.87,323.3,0,102.1,0.077,4.32,-7.1,0,-83.1,-4.31,0.884,1.58,-0.458,2.038,410.3,-56.402,4.613
1443,2018,31,31-Jan,30,0,0,-5.61,31.5,0,59.6,3.52,247.3,0,102.1,0.076,4.27,-7.28,0,-80.9,-4.75,0.937,-1.511,-0.846,-0.665,411.54,-41.824,31.6
1444,2018,31,31-Jan,100,0,0,-6.02,36.2,0,57.2,3.75,326.7,0,102.1,0.076,4.22,-7.46,0,-81.2,-5.22,0.965,2.76,-0.435,3.195,411.84,-36.72,28.776
1445,2018,31,31-Jan,130,0,0,-6.4,41.0,0,55,3.87,305.1,0,102.2,0.076,4.16,-7.64,0,-81,-5.68,1.013,2.453,-0.092,2.544,411.45,-54.353,6.015
1446,2018,31,31-Jan,200,0,0,-6.91,47.7,0,56.2,3.46,268,0,102.2,0.076,4.11,-7.81,0,-79.9,-6.21,0.84,1.537,-0.445,1.982,411.6,-40.454,5.054
1447,2018,31,31-Jan,230,0,0,-7.31,53.4,0,57,2.76,34.5,0,102.2,0.075,4.06,-7.97,0,-78.5,-6.63,0.759,1.279,-0.416,1.695,411.87,-51.76,-2.986
1448,2018,31,31-Jan,300,0,0,-7.68,59.0,0,57.3,2.94,247.8,0,102.2,0.076,4.01,-8.12,0,-78.8,-7.01,0.924,1.881,-0.301,2.182,411.93,-66.99,-4.363
1449,2018,31,31-Jan,330,0,0,-8.03,64.5,0,57.6,3.51,312.7,0,102.3,0.076,3.96,-8.27,0,-77.4,-7.35,0.885,2.071,-0.165,2.236,411.74,-36.095,7.463
1450,2018,31,31-Jan,400,0,0,-8.46,71.6,0,58,3.69,272,0,102.3,0.075,3.91,-8.41,0,-77.2,-7.82,0.81,1.003,-0.077,1.079,411.23,-28.139,1.056
1451,2018,31,31-Jan,430,0,0,-8.86,78.5,0,58.4,2.73,278.3,0,102.4,0.075,3.87,-8.54,0,-78,-8.19,0.677,0.782,-0.329,1.111,411.3,-47.271,2.144
1452,2018,31,31-Jan,500,0,0,-9.22,85.0,0,59.3,2.15,295.2,0,102.4,0.074,3.82,-8.66,0,-76.7,-8.5,0.57,0.89,-0.246,1.136,411.26,-43.986,1.106
1453,2018,31,31-Jan,530,0,0,-9.33,87.0,0,60.1,2.42,222.5,0,102.4,0.075,3.78,-8.78,0,-76,-8.62,0.624,0.804,-0.06,0.864,411.21,-33.712,-0.385
1454,2018,31,31-Jan,600,0,0,-9.42,88.7,0,60.2,2.84,300.6,0,102.4,0.075,3.73,-8.89,0,-73.4,-8.69,0.521,0.304,-0.111,0.416,411.31,-29.821,0.07
1455,2018,31,31-Jan,630,0,0,-9.52,90.6,0,60.4,3.04,290.4,0,102.5,0.074,3.68,-8.99,0,-72.7,-8.79,0.536,0.806,-0.161,0.967,411.49,-34.071,0.456
1456,2018,31,31-Jan,700,0,0,-9.51,90.4,0,61.2,3.17,293.6,0,102.5,0.075,3.64,-9.09,0,-71.3,-8.79,0.575,0.834,-0.209,1.043,411.95,-30.53,1.944
1457,2018,31,31-Jan,730,0,0,-9.56,91.4,0,61.4,2.81,264.8,0,102.4,0.074,3.6,-9.19,0,-71.4,-8.85,0.474,0.582,-0.072,0.655,412.02,-24.421,-1.819
1458,2018,31,31-Jan,800,0.9,1,-9.69,93.9,-8.721,62.3,2.38,310.1,0,102.4,0.075,3.56,-9.28,0.6,-70.7,-8.95,0.482,0.493,-0.146,0.639,412.12,-29.324,-0.329
1459,2018,31,31-Jan,830,28.1,790,-9.71,94.3,-272.851,62.5,2.07,315.7,0,102.4,0.073,3.53,-9.37,16.8,-60.03,-8.93,0.44,0.741,-0.091,0.831,412.28,-23.283,0.891
1460,2018,31,31-Jan,900,134.5,18090,-9.35,87.4,-1257.575,61,2.55,285.3,0,102.4,0.073,3.53,-9.44,85.5,-20.08,-8.56,0.55,0.986,0.085,0.901,412.67,-1.096,3.142
1461,2018,31,31-Jan,930,325.6,106015,-8.65,74.8,-2816.44,57.6,3.16,278.7,0,102.4,0.075,3.53,-9.5,193.1,55.94,-7.86,0.706,-0.892,0.378,-1.27,412.97,71.119,-0.152
1462,2018,31,31-Jan,1000,473.2,223918,-7.94,63.0,-3757.208,54,2.81,271.9,0,102.4,0.074,3.52,-9.54,259.6,104.8,-7.28,0.808,1.577,1.166,0.411,411.61,115.999,12.416
1463,2018,31,31-Jan,1030,609.4,371368,-7.47,55.8,-4552.218,52.2,2.41,32.6,0,102.3,0.075,3.54,-9.55,322.5,151,-6.82,0.539,0.585,0.24,0.346,411.83,122.915,18.777
1464,2018,31,31-Jan,1100,768,589824,-6.85,46.9,-5260.8,50.1,2.15,294.2,0,102.2,0.075,3.54,-9.53,400.1,214.4,-6.2,0.589,0.242,0.284,-0.042,412.19,141.116,37.655
1465,2018,31,31-Jan,1130,844,712336,-6.14,37.7,-5182.16,48.4,2.57,261.5,0,102.1,0.076,3.58,-9.49,431.3,243.3,-5.51,0.616,-1.374,0.127,-1.501,413.02,176.694,30.129
1466,2018,31,31-Jan,1200,938,879844,-5.51,30.4,-5168.38,47.3,2.44,278,0,102,0.075,3.56,-9.42,476.7,280.2,-4.95,0.497,0.155,-0.42,0.575,414.89,184.356,35.077
1467,2018,31,31-Jan,1230,1048,1098304,-5.09,25.9,-5334.32,46.5,2.72,250.3,0,101.9,0.075,3.63,-9.33,531,323.2,-4.43,0.667,0.856,0.503,0.353,414.47,257.788,28.344
1468,2018,31,31-Jan,1300,1054,1110916,-4.4,19.4,-4637.6,45.4,2.71,240.5,0,101.9,0.075,3.55,-9.22,530.7,329.2,-3.97,0.646,-3.859,-0.008,-3.852,415.55,215.789,36.482
1469,2018,31,31-Jan,1330,1086,1179396,-3.65,13.3,-3963.9,42.7,1.55,223.6,0,101.9,0.076,3.56,-9.09,550.5,368.1,-3.09,0.356,0.808,-0.05,0.858,416.81,212.718,56.793
1470,2018,31,31-Jan,1400,1092,1192464,-3.01,9.1,-3286.92,40.6,1.93,252.3,0,101.9,0.075,3.54,-8.95,552.2,356,-2.54,0.405,0.541,0.9,-0.359,415.86,201.647,44.851
1471,2018,31,31-Jan,1430,1002,1004004,-2.2,4.8,-2204.4,38.1,1.85,206.4,0,101.8,0.075,3.56,-8.81,503.6,318.8,-1.82,0.364,0.324,0.557,-0.232,415.9,141.74,41.103
1472,2018,31,31-Jan,1500,950,902500,-1.54,2.4,-1463,35.6,2.15,212.5,0,101.8,0.076,3.55,-8.66,480.3,301.2,-1.14,0.552,0.507,0.472,0.035,415.91,190.797,57.912
1473,2018,31,31-Jan,1530,856,732736,-1.03,1.1,-881.68,35.2,2.68,199.7,0,101.8,0.075,3.53,-8.51,434.8,266.5,-0.65,0.619,-2.202,0.612,-2.815,415.36,159.913,52.21
1474,2018,31,31-Jan,1600,732,535824,-0.61,0.4,-446.52,36.1,2.1,207.6,0,101.7,0.075,3.54,-8.35,374.1,211.4,-0.15,0.564,0.534,0.755,-0.221,414.36,143.459,37.366
1475,2018,31,31-Jan,1630,539.1,290629,-0.47,0.2,-253.377,36.8,2.6,227.4,0,101.7,0.077,3.53,-8.2,275.2,136,-0.1,0.521,1.404,0.673,0.731,413.1,105.597,33.252
1476,2018,31,31-Jan,1700,405,164025,-0.38,0.1,-153.9,37.2,2.72,229.8,0,101.7,0.075,3.5,-8.05,215.7,100,0.15,0.523,1.344,0.347,0.996,412.49,65.125,19.271
1477,2018,31,31-Jan,1730,181.4,32906,-0.69,0.5,-125.166,40.6,2.54,250.9,0,101.7,0.075,3.48,-7.91,91.4,15.69,-0.18,0.552,0.634,0.287,0.347,411.38,22.533,16.232
1478,2018,31,31-Jan,1800,63.9,4083,-1.1,1.2,-70.29,43.5,2.13,198.1,0,101.7,0.074,3.46,-7.78,30.4,-25.32,-0.49,0.563,0.413,-0.619,1.032,412.11,-5.428,14.443
1479,2018,31,31-Jan,1830,9.1,83,-1.51,2.3,-13.741,46.7,1.73,154.9,0,101.7,0.074,3.45,-7.68,3.3,-54.3,-0.82,0.332,1.206,-0.437,1.643,412.44,-11.447,4.584
1480,2018,31,31-Jan,1900,0,0,-1.8,3.2,0,48.4,2.21,214.2,0,101.6,0.074,3.43,-7.59,-0.1,-52.55,-1.11,0.542,1.19,0.316,0.874,411.31,-29.932,11.169
1481,2018,31,31-Jan,1930,0,0,-2.06,4.2,0,50,2.71,166.6,0,101.6,0.075,3.42,-7.52,-0.3,-53.24,-1.38,0.451,0.775,3.293,-2.518,403.79,-20.996,10.24
1482,2018,31,31-Jan,2000,0,0,-2.42,5.9,0,51.7,2.52,176.3,0,101.6,0.074,3.41,-7.47,-0.2,-55.32,-1.74,0.458,1.045,-1.676,2.721,406.89,-21.848,7.779
1483,2018,31,31-Jan,2030,0,0,-2.73,7.5,0,57.6,2.41,190.5,0,101.5,0.075,3.41,-7.44,-0.1,-51.74,-1.99,0.457,0.614,-0.798,1.411,408.14,-21.084,-6.382
1484,2018,31,31-Jan,2100,0,0,-2.76,7.6,0,63.5,2.58,240.2,0,101.5,0.075,3.4,-7.41,-0.2,-32.08,-1.96,0.565,0.349,-0.267,0.616,408.67,-17.558,-6.612
1485,2018,31,31-Jan,2130,0,0,-2.68,7.2,0,67.2,2.57,193.7,0,101.5,0.074,3.39,-7.38,-0.2,-28.69,-1.86,0.513,0.774,-1.005,1.779,410.96,-18.561,-8.161
1486,2018,31,31-Jan,2200,0,0,-2.48,6.2,0,70.1,2.94,180,0,101.5,0.074,3.38,-7.35,-0.2,-38.62,-1.63,0.54,0.473,0.258,0.215,410.69,-15.364,9.263
1487,2018,31,31-Jan,2230,0,0,-2.47,6.1,0,71.8,2.84,197.4,0,101.5,0.074,3.37,-7.33,-0.1,-54.31,-1.61,0.552,0.999,0.104,0.895,410.5,-30.026,-1.869
1488,2018,31,31-Jan,2300,0,0,-2.32,5.4,0,70.6,2.93,171.7,0,101.5,0.074,3.36,-7.33,-0.2,-43.12,-1.44,0.605,1.028,0.252,0.776,410.18,-32.108,1.78
1489,2018,31,31-Jan,2330,0,0,-2.09,4.4,0,68.4,2.59,249.4,0,101.4,0.074,3.35,-7.33,-0.2,-47.42,-1.22,0.52,0.689,0.129,0.56,410.25,-24.19,-3.31
1490,2018,31,31-Jan,2400,0,0,-2.02,4.1,0,67.7,2.38,164.2,0,101.4,0.074,3.34,-7.34,-0.1,-56.58,-1.16,0.49,0.77,-0.15,0.919,410.67,-35.231,1.164
1491,2018,32,1-Feb,30,0,0,-2.01,4.0,0,68.3,2,188.5,0,101.4,0.074,3.32,-7.35,-0.2,-40.3,-1.15,0.386,0.73,-0.194,0.924,411.11,-25.367,4.514
1492,2018,32,1-Feb,100,0,0,-2.14,4.6,0,70.4,1.5,193.9,0,101.4,0.074,3.3,-7.36,-0.1,-55.5,-1.3,0.254,0.156,-0.275,0.431,411.51,-18.375,-0.829
1493,2018,32,1-Feb,130,0,0,-2.42,5.9,0,72.5,0.96,133.9,0,101.4,0.073,3.29,-7.38,0,-46.88,-1.56,0.134,0.112,-0.288,,411.7,-10.655,-0.292
1494,2018,32,1-Feb,200,0,0,-2.65,7.0,0,74.5,0.99,151.6,0,101.4,0.074,3.28,-7.41,0,-40.56,-1.68,0.092,0.029,-0.231,,411.85,-5.387,-1.816
1495,2018,32,1-Feb,230,0,0,-2.68,7.2,0,76,1.05,149.6,0,101.4,0.074,3.26,-7.44,-0.1,-33.7,-1.69,0.097,-0.038,-0.14,,412.11,-4.647,-0.71
1496,2018,32,1-Feb,300,0,0,-2.79,7.8,0,77.4,1.09,143.5,0,101.3,0.075,3.25,-7.46,0,-33.49,-1.82,0.142,0.251,-0.354,,412.71,-10.551,0.126
1497,2018,32,1-Feb,330,0,0,-2.78,7.7,0,77.8,1.7,163.3,0,101.3,0.073,3.24,-7.49,-0.1,-32.22,-1.72,0.174,0.576,-0.176,,413.11,-18.065,-0.399
1498,2018,32,1-Feb,400,0,0,-2.51,6.3,0,76.5,1.73,159.1,0,101.3,0.073,3.23,-7.51,-0.2,-33.29,-1.53,0.19,0.205,0.262,,412.95,-15.013,-0.481
1499,2018,32,1-Feb,430,0,0,-2.32,5.4,0,75.5,2.1,120.9,0,101.3,0.073,3.22,-7.52,-0.2,-26.78,-1.26,0.248,1.119,0.264,0.855,412.68,-30.841,-1.224
1500,2018,32,1-Feb,500,0,0,-2.03,4.1,0,74.3,2.12,195.5,0,101.3,0.073,3.22,-7.53,-0.2,-40.72,-1.09,0.321,1.38,0.252,1.127,412.57,-31.483,-0.883
1501,2018,32,1-Feb,530,0,0,-1.98,3.9,0,74.2,2.34,145.6,0,101.3,0.074,3.22,-7.54,-0.2,-30.41,-1.05,0.323,1.228,-0.063,1.291,412.77,-28.041,0.577
1502,2018,32,1-Feb,600,0,0,-1.84,3.4,0,73.7,1.95,178.8,0,101.3,0.073,3.22,-7.54,-0.3,-19.28,-0.91,0.385,1.388,0.02,1.368,412.95,-32.196,-1.181
1503,2018,32,1-Feb,630,0,0,-1.61,2.6,0,73.2,1.9,226.3,0,101.3,0.073,3.22,-7.53,-0.3,-18.16,-0.63,0.303,0.622,0.192,0.43,412.88,-19.938,-1.106
1504,2018,32,1-Feb,700,0,0,-1.31,1.7,0,72.8,1.84,173.1,0,101.3,0.074,3.21,-7.5,-0.3,-17.65,-0.35,0.283,0.749,0.181,0.568,412.95,-19.673,-0.89
1505,2018,32,1-Feb,730,0,0,-0.98,1.0,0,72.1,1.88,154.6,0,101.3,0.073,3.21,-7.47,-0.3,-15.56,0.02,0.398,1.276,0.167,1.109,413.08,-28.312,-0.263
1506,2018,32,1-Feb,800,0.1,0,-0.68,0.5,-0.068,71.7,1.98,179.5,0,101.3,0.073,3.22,-7.43,0.1,-18.34,0.23,0.344,0.723,0.081,0.641,413.36,-20.987,-1.779
