Count,,Year,JD,HR MIN,,RAD,NETRAD,PPFD_in,TA,RH,WS,WD,P,kPa,,Vol W C ,Soil T,G,,Sonic T,USTAR,,FC,SC,NEE,CO2,,  H,  LE
45,,2018,1,2130,,0,-61.51,0,-12.21,56.9,1.78,221.3,0,102.7,,0.053,2.03,-11.34,,,,,,,,,,,
46,,2018,1,2200,,-0.1,-61.98,0,-12.1,59.5,1.95,229.8,0,102.7,,0.053,2.01,-11.44,,,,,,,,,,,
47,,2018,1,2230,,-0.1,-61.99,0,-12.33,62,1.84,246.2,0,102.7,,0.053,2,-11.55,,,,,,,,,,,
48,,2018,1,2300,,-0.1,-62.07,0,-12.26,62.8,1.88,260.8,0,102.7,,0.053,1.98,-11.65,,,,,,,,,,,
49,,2018,1,2330,,-0.1,-59.84,0,-11.99,61.5,1.84,271.1,0,102.7,,0.053,1.96,-11.75,,,,,,,,,,,
50,,2018,1,2400,,0,-62.8,0,-11.03,56.7,2.29,271.3,0,102.7,,0.053,1.94,-11.84,,,,,,,,,,,
51,,2018,2,30,,0,-66.81,0,-10.47,55.5,2.58,264.7,0,102.8,,0.053,1.93,-11.93,,,,,,,,,,,
52,,2018,2,100,,0,-67.35,0,-10.7,56.5,2.28,284.5,0,102.8,,0.053,1.91,-12.01,,,,,,,,,,,
53,,2018,2,130,,0,-67.99,0,-10.75,56.3,2.45,285,0,102.8,,0.053,1.89,-12.06,,,,,,,,,,,
54,,2018,2,200,,0,-68.05,0,-10.84,55.8,2.32,280.3,0,102.8,,0.053,1.87,-12.1,,,,,,,,,,,
55,,2018,2,230,,0,-69.48,0,-10.81,54.6,2.69,295.2,0,102.8,,0.053,1.86,-12.13,,-9.96,0.488,,0.955,,0.955,416.7,,-45.606,-0.863
56,,2018,2,300,,0,-70.4,0,-10.75,53.7,2.86,307.8,0,102.8,,0.053,1.84,-12.15,,-9.91,0.576,,1.214,0.641,0.573,415.45,,-54.845,1.26
57,,2018,2,330,,0,-70.2,0,-10.91,53.9,2.61,270.1,0,102.8,,0.053,1.82,-12.16,,-10.05,0.558,,0.894,0.264,0.63,414.65,,-58.439,0.299
58,,2018,2,400,,0,-70.3,0,-11.05,54,2.83,273.5,0,102.8,,0.053,1.81,-12.17,,-10.19,0.516,,0.883,0.103,0.781,414.21,,-44.397,0.741
59,,2018,2,430,,0,-70.5,0,-11.19,54.6,2.59,282.7,0,102.8,,0.053,1.79,-12.17,,-10.34,0.558,,0.772,-0.084,0.856,414.17,,-58.54,0.364
60,,2018,2,500,,0,-70.4,0,-11.21,54.9,3.1,303.1,0,102.9,,0.053,1.78,-12.18,,-10.37,0.66,,1.115,0.046,1.069,414.04,,-45.503,-0.241
61,,2018,2,530,,0,-70.4,0,-11.2,54.9,3.21,280.1,0,102.9,,0.053,1.76,-12.18,,-10.36,0.611,,1.089,0.094,0.995,413.86,,-52.245,2.51
62,,2018,2,600,,0,-68.79,0,-11.28,55.4,2.52,251.8,0,102.9,,0.053,1.75,-12.18,,-10.42,0.513,,0.596,-0.043,0.639,413.82,,-46.486,-0.431
63,,2018,2,630,,0,-68.04,0,-11.39,55.7,2.64,297,0,102.9,,0.053,1.74,-12.19,,-10.55,0.528,,-0.25,-0.376,0.127,414.43,,-49.949,1.239
64,,2018,2,700,,0,-66.85,0,-11.45,56,2.43,302,0,102.9,,0.053,1.72,-12.2,,-10.59,0.491,,0.663,-0.427,1.09,415.23,,-47.643,-0.272
65,,2018,2,730,,0,-66.62,0,-11.47,56.6,2.89,293.1,0,102.9,,0.053,1.71,-12.2,,-10.63,0.499,,0.902,-0.263,1.165,415.75,,-38.473,0.153
66,,2018,2,800,,0,-66.6,0.1,-11.46,56.7,2.82,301.2,0,102.9,,0.053,1.7,-12.2,,-10.61,0.564,,0.979,-0.082,1.061,415.94,,-44.76,-0.152
67,,2018,2,830,,4.2,-63.15,8.8,-11.41,56.9,2.72,282.1,0,102.9,,0.053,1.69,-12.21,,-10.57,0.512,,0.557,-0.096,0.654,416.22,,-41.792,0.123
68,,2018,2,900,,40.6,-40.15,67.7,-11.25,55.8,2.91,258.1,0,102.9,,0.053,1.68,-12.21,,-10.43,0.624,,1.003,0.041,0.963,416.39,,-39.951,1.696
69,,2018,2,930,,114.4,3.61,196.9,-10.65,53.8,3.15,288.1,0,102.9,,0.053,1.66,-12.21,,-9.93,0.726,,1.526,0.164,1.361,417,,8.101,2.145
70,,2018,2,1000,,181.5,49.83,338.7,-9.87,51.9,3.43,291.3,0,102.8,,0.053,1.66,-12.19,,-9.21,0.761,,1.681,0.148,1.532,417.92,,53.248,4.409
71,,2018,2,1030,,244.6,99.4,477.8,-9.2,51,4.07,284.3,0,102.8,,0.053,1.65,-12.16,,-8.6,0.787,,1.224,-0.066,1.29,419.13,,80.09,5.497
72,,2018,2,1100,,305.5,149.5,612.4,-8.32,49.4,3.82,303,0,102.7,,0.054,1.65,-12.09,,-7.69,0.768,,1.737,1.26,0.477,417.86,,134.424,12.221
73,,2018,2,1130,,348.4,185.5,710,-7.7,47.7,4.6,289.7,0,102.7,,0.054,1.65,-11.99,,-7.1,0.885,,2.086,1.353,0.733,415.98,,141.41,9.112
74,,2018,2,1200,,390.3,223.4,802,-7.13,47.1,3.85,296,0,102.6,,0.054,1.65,-11.87,,-6.53,0.886,,2.033,0.327,1.707,416.18,,183.905,7.984
75,,2018,2,1230,,415.3,246.2,859,-6.39,45.7,3.49,283.1,0,102.6,,0.054,1.65,-11.76,,-5.82,0.826,,1.037,0.773,0.264,415.69,,255.771,24.115
76,,2018,2,1300,,427.8,256.9,885,-5.84,44.7,3.63,330.3,0,102.6,,0.054,1.66,-11.67,,-5.36,0.764,,2.007,0.328,1.679,415.85,,208.809,34.678
77,,2018,2,1330,,426.8,258.5,879,-5.5,43.9,3.79,241.6,0,102.6,,0.054,1.66,-11.57,,-5.07,0.857,,2.332,0.006,2.326,416.36,,235.508,19.026
78,,2018,2,1400,,415.7,252.7,854,-5.2,43,3.38,310.3,0,102.6,,0.054,1.67,-11.48,,-4.76,0.813,,1.64,0.201,1.438,416.4,,209.75,35.698
79,,2018,2,1430,,392,228.5,804,-4.81,42.8,3.35,266.1,0,102.6,,0.054,1.67,-11.38,,-4.37,0.763,,1.399,0.611,0.788,415.7,,188.809,30.095
80,,2018,2,1500,,355.3,196.4,723,-4.66,42.3,3.64,272.9,0,102.6,,0.054,1.68,-11.27,,-4.22,0.686,,1.531,0.318,1.213,415.25,,143.353,24.332
81,,2018,2,1530,,308.2,155.7,619.3,-4.51,42,3.21,267.7,0,102.5,,0.054,1.68,-11.16,,-4.02,0.701,,0.926,0.028,0.898,415.43,,156.237,25.869
82,,2018,2,1600,,251.5,108.3,494.9,-4.46,41.9,3.27,232.8,0,102.6,,0.054,1.69,-11.04,,-3.95,0.737,,0.846,-0.168,1.014,415.86,,130.328,19.502
83,,2018,2,1630,,188.3,57.97,356.2,-4.68,42.8,3.47,307.1,0,102.6,,0.054,1.69,-10.92,,-4.13,0.706,,1.651,-0.252,1.902,416.06,,89.001,15.861
84,,2018,2,1700,,122.2,6.29,217.2,-4.9,44.5,3.35,292.5,0,102.6,,0.054,1.7,-10.8,,-4.3,0.642,,2.261,0.105,2.155,415.49,,37.419,10.458
85,,2018,2,1730,,46.2,-38.86,83.3,-5.4,47.5,3.16,246.4,0,102.6,,0.053,1.7,-10.69,,-4.69,0.569,,1.611,-1.018,2.628,416.9,,-6.945,7.125
86,,2018,2,1800,,6.2,-68.92,13.8,-5.96,49.7,2.79,271,0,102.6,,0.053,1.71,-10.6,,-5.17,0.574,,0.008,-0.812,0.82,417.76,,-17.202,2.409
87,,2018,2,1830,,0.2,-71.5,0.2,-6.53,52.5,1.92,257.4,0,102.6,,0.053,1.71,-10.53,,-5.69,0.36,,-1.053,-1.235,0.182,419.49,,-20.097,-3.001
88,,2018,2,1900,,0,-70.1,0,-7.07,54.3,1.95,278.6,0,102.6,,0.053,1.72,-10.49,,-6.18,0.31,,0.637,-0.673,1.31,420.07,,-30.179,-1.444
89,,2018,2,1930,,0,-69.83,0,-7.33,54.5,2.2,256.8,0,102.6,,0.053,1.72,-10.48,,-6.45,0.327,,0.778,0.557,0.221,418.48,,-29.733,-0.249
