Count,,Year,JD,HR MIN,,RAD,NETRAD,PPFD_in,TA,RH,WS,WD,P,kPa,,Vol W C ,Soil T,G,,Sonic T,USTAR,,FC,SC,NEE,CO2,,  H,  LE
2582,,2018,54,1800,,17.3,7.37,38.1,5.32,98,1.06,344,0,102.3,,0.074,7.71,-0.02,,,,,,,,,,,
2583,,2018,54,1830,,8.1,1.6,19.1,5.24,98.2,0.74,43.5,0.254,102.3,,0.074,7.7,-0.19,,,,,,,,,,,
2584,,2018,54,1900,,1.1,-3.16,3.2,5.15,98.4,0.56,10.1,0,102.3,,0.074,7.69,-0.41,,,,,,,,,,,
2585,,2018,54,1930,,0,-3.55,0,5.13,98.5,0.25,337.8,0,102.2,,0.074,7.68,-0.63,,,,,,,,,,,
2586,,2018,54,2000,,0,-4.45,0,5.09,98.6,0.49,104.7,0,102.2,,0.074,7.66,-0.85,,,,,,,,,,,
2587,,2018,54,2030,,0,-11.09,0,5.02,98.7,0.58,164.2,0,102.1,,0.074,7.64,-1.05,,,,,,,,,,,
2588,,2018,54,2100,,0,-4.65,0,4.87,98.8,0.74,296.7,0,102.1,,0.074,7.63,-1.23,,,,,,,,,,,
2589,,2018,54,2130,,0,-2.13,0,4.93,98.9,0.81,216,0,102.1,,0.074,7.62,-1.38,,,,,,,,,,,
2590,,2018,54,2200,,0,-2.22,0,4.98,98.9,0.9,260.4,0,102,,0.075,7.61,-1.48,,,,,,,,,,,
2591,,2018,54,2230,,0,-1.84,0,5.06,99,0.77,245,0,102,,0.074,7.6,-1.53,,,,,,,,,,,
2592,,2018,54,2300,,0,-1.69,0,5.19,99,0.9,237.6,0,102,,0.074,7.59,-1.55,,,,,,,,,,,
2593,,2018,54,2330,,0,-1.85,0,5.36,99.1,1.31,243.6,0,102,,0.074,7.58,-1.55,,,,,,,,,,,
2594,,2018,54,2400,,0,-2.12,0,5.62,99.1,1.33,244.5,0,102,,0.074,7.58,-1.53,,,,,,,,,,,
2595,,2018,55,30,,0,-1.68,0,5.81,99,1.65,222.9,0,102,,0.075,7.58,-1.5,,,,,,,,,,,
2596,,2018,55,100,,0,-2.14,0,6.03,99,2.14,255.3,0,101.9,,0.074,7.57,-1.44,,,,,,,,,,,
2597,,2018,55,130,,0,-2.62,0,6.27,99,2.51,258.4,0,101.9,,0.074,7.57,-1.36,,,,,,,,,,,
2598,,2018,55,200,,0,-4.13,0,6.35,99,2.59,235,0,101.9,,0.074,7.57,-1.28,,,,,,,,,,,
2599,,2018,55,230,,0,-4.76,0,6.41,98.9,2.32,220.5,0,101.9,,0.074,7.58,-1.2,,,,,,,,,,,
2600,,2018,55,300,,0,-4.66,0,6.47,98.9,2.21,199.2,0,101.9,,0.074,7.58,-1.12,,,,,,,,,,,
2601,,2018,55,330,,0,-3.91,0,6.52,98.9,2.18,270.5,0,101.9,,0.074,7.58,-1.04,,,,,,,,,,,
2602,,2018,55,400,,0,-3.71,0,6.53,98.8,2.2,247.8,0,101.9,,0.074,7.58,-0.97,,,,,,,,,,,
2603,,2018,55,430,,0,-3.79,0,6.52,98.8,2.21,240.2,0,101.9,,0.074,7.58,-0.91,,,,,,,,,,,
2604,,2018,55,500,,0,-4.72,0,6.44,98.8,1.85,257.4,0,101.9,,0.074,7.58,-0.87,,,,,,,,,,,
2605,,2018,55,530,,0,-4.57,0,6.37,98.8,2.13,286.4,0,101.9,,0.073,7.58,-0.84,,,,,,,,,,,
2606,,2018,55,600,,0,-3.55,0,6.36,98.8,2.07,272.1,0,101.9,,0.073,7.58,-0.82,,,,,,,,,,,
2607,,2018,55,630,,0,-2.9,0,6.35,98.8,1.49,278.4,0,101.9,,0.074,7.58,-0.8,,,,,,,,,,,
2608,,2018,55,700,,0,-2.27,0,6.36,98.8,1.57,242.4,0,101.9,,0.073,7.58,-0.79,,,,,,,,,,,
2609,,2018,55,730,,0,-1.9,0.2,6.37,98.9,1.31,264,0,101.9,,0.074,7.59,-0.77,,,,,,,,,,,
2610,,2018,55,800,,2.2,0.11,5.8,6.4,98.9,1.17,309.7,0,101.9,,0.074,7.61,-0.73,,,,,,,,,,,
2611,,2018,55,830,,27.6,18.61,53.4,6.47,98.9,0.82,219.2,0,101.9,,0.074,7.64,-0.61,,,,,,,,,,,
2612,,2018,55,900,,59.9,37.12,116.4,6.63,98.9,0.91,2.4,0,101.9,,0.073,7.68,-0.38,,,,,,,,,,,
2613,,2018,55,930,,88.7,48.73,184.4,6.79,98.9,1,324.3,0,101.9,,0.073,7.72,0.02,,,,,,,,,,,
2614,,2018,55,1000,,94.5,48.01,209.2,7.08,98.8,0.81,246.7,0,102,,0.074,7.76,0.49,,,,,,,,,,,
2615,,2018,55,1030,,88.4,42.97,197,7.39,98.5,0.43,230.1,0,101.9,,0.074,7.8,0.99,,,,,,,,,,,
2616,,2018,55,1100,,78.5,36.72,172.6,7.67,97.7,0.24,173.4,0,101.8,,0.074,7.84,1.43,,,,,,,,,,,
2617,,2018,55,1130,,77.4,38.26,173.9,7.93,97.3,0.64,211.1,0.254,101.8,,0.074,7.89,1.8,,,,,,,,,,,
2618,,2018,55,1200,,71.2,42,163.4,8.11,97.9,0.82,245.3,0.508,101.7,,0.075,7.94,2.13,,,,,,,,,,,
2619,,2018,55,1230,,108.7,66.16,240.3,8.19,98.1,1.25,303.8,0.254,101.8,,0.076,7.98,2.53,,,,,,,,,,,
2620,,2018,55,1300,,105.7,63.32,235.1,8.18,98,0.76,265,0.762,101.8,,0.076,8.01,2.94,,,,,,,,,,,
2621,,2018,55,1330,,46.6,26.51,110.6,8.38,97.9,0.6,32,0,101.7,,0.075,8.05,3.21,,,,,,,,,,,
2622,,2018,55,1400,,38.7,22.84,92.6,8.3,98.2,0.56,241.2,0,101.7,,0.076,8.08,3.28,,,,,,,,,,,
2623,,2018,55,1430,,39.9,20.32,96.5,8.35,98.1,0.74,314.4,0,101.7,,0.076,8.1,3.2,,,,,,,,,,,
2624,,2018,55,1500,,20.5,6.55,55.1,8.33,98.2,1.56,264.1,0.508,101.8,,0.076,8.13,3.09,,,,,,,,,,,
2625,,2018,55,1530,,49.5,28.89,114.6,8.39,98.3,0.76,293.9,0,101.9,,0.077,8.15,3,,,,,,,,,,,
2626,,2018,55,1600,,35.8,20.27,83.9,8.51,98.3,0.46,74.5,0,101.8,,0.077,8.17,2.96,,,,,,,,,,,
2627,,2018,55,1630,,47.9,29.55,105.9,8.62,98.3,0.65,32.1,0.254,101.8,,0.077,8.19,2.97,,,,,,,,,,,
2628,,2018,55,1700,,41,20.11,90.8,8.76,98.3,0.94,331.5,0,101.9,,0.077,8.19,2.99,,,,,,,,,,,
2629,,2018,55,1730,,15.8,-0.27,36.4,8.85,98.1,1.17,294.2,0,101.9,,0.077,8.2,2.95,,,,,,,,,,,
2630,,2018,55,1800,,7,-3.8,16.4,8.85,98.3,0.83,0,0,101.9,,0.077,8.2,2.84,,,,,,,,,,,
2631,,2018,55,1830,,13.2,0.19,25.8,8.76,98.3,0.8,34.2,0,101.9,,0.077,8.2,2.65,,,,,,,,,,,
2632,,2018,55,1900,,0.9,-8.02,3.1,8.69,98.2,0.78,64.8,0,101.9,,0.077,8.19,2.43,,,,,,,,,,,
2633,,2018,55,1930,,0,-11.71,0,8.62,97.8,0.92,354.7,0,101.9,,0.077,8.18,2.2,,,,,,,,,,,
2634,,2018,55,2000,,0,-16.68,0,8.28,97.4,1.25,28.1,0,101.9,,0.077,8.17,1.96,,,,,,,,,,,
2635,,2018,55,2030,,0,-19.03,0,8.01,96.6,1.49,34.9,0,101.9,,0.077,8.15,1.72,,,,,,,,,,,
2636,,2018,55,2100,,0,-15.89,0,7.75,96.9,1.67,36.7,0,101.9,,0.077,8.14,1.49,,,,,,,,,,,
2637,,2018,55,2130,,0,-12.89,0,7.6,97,1.18,76.7,0,101.9,,0.077,8.13,1.29,,,,,,,,,,,
2638,,2018,55,2200,,0,-9.47,0,7.49,97.2,0.86,42.3,0,101.9,,0.077,8.11,1.11,,,,,,,,,,,
2639,,2018,55,2230,,0,-8.98,0,7.44,97.4,1.21,71.4,0,101.8,,0.076,8.1,0.95,,,,,,,,,,,
2640,,2018,55,2300,,0,-9.27,0,7.38,97.2,1.18,72,0,101.8,,0.077,8.08,0.82,,,,,,,,,,,
2641,,2018,55,2330,,0,-12.25,0,7.3,97,1.7,31.6,0,101.8,,0.077,8.07,0.7,,,,,,,,,,,
2642,,2018,55,2400,,0,-9.57,0,7.15,97.4,1.62,48.6,0,101.8,,0.077,8.06,0.58,,,,,,,,,,,
2643,,2018,56,30,,0,-7.3,0,7.13,97.8,1.85,74.3,0,101.8,,0.077,8.05,0.48,,,,,,,,,,,
2644,,2018,56,100,,0,-6.63,0,7.21,97.8,1.76,93,0.254,101.7,,0.077,8.03,0.4,,,,,,,,,,,
2645,,2018,56,130,,0,-9.77,0,7.26,97.8,2.15,70.3,0,101.7,,0.077,8.01,0.33,,,,,,,,,,,
2646,,2018,56,200,,0,-15.34,0,7.19,97.2,2.29,75.3,0,101.6,,0.079,8,0.18,,,,,,,,,,,
2647,,2018,56,230,,0,-10.11,0,6.96,97.6,2.12,76.8,1.524,101.6,,0.08,7.98,0.02,,,,,,,,,,,
2648,,2018,56,300,,0,-12.78,0,6.76,97.8,2.76,131.5,0.254,101.5,,0.081,7.96,-0.12,,,,,,,,,,,
2649,,2018,56,330,,0,-15.08,0,6.51,97.6,3.25,137,0,101.5,,0.082,7.94,-0.21,,,,,,,,,,,
2650,,2018,56,400,,0,-11.91,0,6.3,97.8,2.77,60.5,0.508,101.5,,0.082,7.92,-0.34,,,,,,,,,,,
2651,,2018,56,430,,0,-14.64,0,6.11,97.8,3.06,71.9,0.254,101.5,,0.083,7.89,-0.51,,,,,,,,,,,
2652,,2018,56,500,,0,-19.01,0,5.95,97.5,3.38,83.4,0,101.4,,0.083,7.86,-0.69,,,,,,,,,,,
2653,,2018,56,530,,0,-14.73,0,5.82,97.6,3.55,104.2,0.508,101.4,,0.084,7.84,-0.9,,,,,,,,,,,
2654,,2018,56,600,,0,-10.6,0,5.73,97.9,2.55,66.3,0.254,101.4,,0.085,7.81,-1.25,,,,,,,,,,,
2655,,2018,56,630,,0,-8.98,0,5.75,98.1,2.52,108.7,1.016,101.4,,0.088,7.79,-1.53,,,,,,,,,,,
2656,,2018,56,700,,0,-7.49,0,5.83,98.3,2.65,31.9,0.508,101.3,,0.089,7.77,-1.75,,,,,,,,,,,
2657,,2018,56,730,,0,-7.78,0,5.97,98.2,2.84,123.5,0,101.3,,0.09,7.75,-1.75,,,,,,,,,,,
2658,,2018,56,800,,0.3,-6.89,1.1,6.14,98.2,2.64,122.8,0.508,101.2,,0.091,7.73,-1.71,,,,,,,,,,,
2659,,2018,56,830,,1.5,-5.08,4.4,6.34,98.3,2.79,65.9,0.762,101.2,,0.093,7.72,-1.7,,,,,,,,,,,
2660,,2018,56,900,,4.4,-2.26,11.9,6.55,98.4,3.29,60.4,0.508,101.2,,0.095,7.72,-1.62,,,,,,,,,,,
2661,,2018,56,930,,12.3,4.52,29.7,6.59,98.3,3.22,3.5,0,101.2,,0.095,7.71,-1.47,,,,,,,,,,,
2662,,2018,56,1000,,27.5,15.65,64.9,6.54,98.3,3.26,80.6,0.508,101.2,,0.096,7.71,-1.24,,,,,,,,,,,
2663,,2018,56,1030,,30.9,17.57,73.9,6.54,98.3,3.55,92.6,0,101.1,,0.096,7.73,-1,,,,,,,,,,,
2664,,2018,56,1100,,34.9,20.18,84.6,6.56,98.3,2.59,89.8,0.508,101.1,,0.097,7.74,-0.74,,,,,,,,,,,
2665,,2018,56,1130,,41.6,25.16,100.6,6.71,98.3,1.49,282.2,0.254,101,,0.098,7.77,-0.46,,,,,,,,,,,
2666,,2018,56,1200,,49.3,32.72,120.8,6.78,98.4,0.89,310,1.016,101,,0.099,7.81,-0.09,,,,,,,,,,,
2667,,2018,56,1230,,121.1,80.2,267.4,6.96,98.5,1.43,0,0.254,101.1,,0.099,7.85,0.4,,,,,,,,,,,
2668,,2018,56,1300,,125.9,74.6,277.4,6.95,98.4,1.7,64.4,0,101.1,,0.099,7.9,0.96,,,,,,,,,,,
2669,,2018,56,1330,,117.9,74,262.9,6.95,98.1,1.52,95.3,0,101.1,,0.098,7.95,1.54,,,,,,,,,,,
2670,,2018,56,1400,,117.9,73.3,261.5,7.06,98,1.48,113.3,0,101.1,,0.098,7.98,2.04,,,,,,,,,,,
2671,,2018,56,1430,,118.1,70.5,261.7,7.34,97.9,0.73,53,0,101.2,,0.097,8.01,2.45,,,,,,,,,,,
2672,,2018,56,1500,,59.4,32.78,137.5,7.51,98,1.72,338,0,101.2,,0.097,8.03,2.67,,,,,,,,,,,
2673,,2018,56,1530,,61.7,33.11,141.4,7.13,98.1,1.75,323.4,0,101.2,,0.096,8.06,2.72,,,,,,,,,,,
2674,,2018,56,1600,,65.7,36.06,143.9,7.02,98.1,1.19,354,0,101.2,,0.095,8.08,2.66,,,,,,,,,,,
2675,,2018,56,1630,,76.4,42.41,163.3,6.98,98,1.18,332.9,0,101.2,,0.095,8.1,2.59,,,,,,,,,,,
2676,,2018,56,1700,,68.2,38.98,145,7.13,97.9,1.2,313.3,0,101.2,,0.094,8.1,2.54,,,,,,,,,,,
2677,,2018,56,1730,,42.3,23.61,89.7,7.2,97.8,0.68,0.4,0,101.2,,0.094,8.1,2.47,,,,,,,,,,,
2678,,2018,56,1800,,26,12.5,54.6,7.22,97.8,0.72,331.6,0,101.3,,0.093,8.1,2.34,,,,,,,,,,,
2679,,2018,56,1830,,10.5,2.04,21.9,7.14,97.9,1.09,314.2,0,101.3,,0.092,8.09,2.12,,,,,,,,,,,
2680,,2018,56,1900,,1.6,-3.7,3.8,7.01,98.1,0.75,50.7,0,101.3,,0.092,8.08,1.83,,,,,,,,,,,
2681,,2018,56,1930,,0,-5.63,0,6.94,98.2,0.62,328.5,0,101.4,,0.091,8.06,1.51,,,,,,,,,,,
2682,,2018,56,2000,,0,-7.28,0,6.85,98.4,0.59,74.5,0,101.4,,0.091,8.05,1.2,,,,,,,,,,,
2683,,2018,56,2030,,0,-3.93,0,6.8,98.5,0.37,329,0,101.4,,0.091,8.04,0.92,,,,,,,,,,,
2684,,2018,56,2100,,0,-2.67,0,6.77,98.6,0.44,195.9,0,101.4,,0.09,8.02,0.7,,,,,,,,,,,
2685,,2018,56,2130,,0,-2.4,0,6.72,98.7,0.34,199,0,101.4,,0.09,8.01,0.53,,,,,,,,,,,
2686,,2018,56,2200,,0,-2.36,0,6.66,98.7,0.73,260.7,0,101.4,,0.089,8,0.39,,,,,,,,,,,
2687,,2018,56,2230,,0,-2.07,0,6.71,98.8,0.62,251.5,0,101.4,,0.089,7.98,0.28,,,,,,,,,,,
2688,,2018,56,2300,,0,-1.81,0,6.72,98.8,0.46,324.1,0,101.5,,0.088,7.98,0.2,,,,,,,,,,,
2689,,2018,56,2330,,0,-1.74,0,6.76,98.8,0.16,262.6,0,101.5,,0.088,7.97,0.13,,,,,,,,,,,
2690,,2018,56,2400,,0,-1.59,0,6.79,98.9,0.27,155.9,0,101.5,,0.088,7.96,0.08,,,,,,,,,,,
2691,,2018,57,30,,0,-1.53,0,6.79,98.9,0.35,168.7,0,101.5,,0.088,7.95,0.04,,,,,,,,,,,
2692,,2018,57,100,,0,-1.44,0,6.79,98.9,0.21,223.8,0,101.5,,0.087,7.94,0.01,,,,,,,,,,,
2693,,2018,57,130,,0,-1.43,0,6.8,98.9,0.41,274.9,0,101.5,,0.087,7.93,-0.01,,,,,,,,,,,
2694,,2018,57,200,,0,-1.38,0,6.8,98.9,0.46,319,0,101.5,,0.087,7.92,-0.03,,,,,,,,,,,
2695,,2018,57,230,,0,-1.38,0,6.78,98.9,0.38,314,0,101.5,,0.087,7.92,-0.05,,,,,,,,,,,
2696,,2018,57,300,,0,-1.7,0,6.77,98.9,0.7,276.6,0,101.5,,0.086,7.91,-0.07,,,,,,,,,,,
2697,,2018,57,330,,0,-2.87,0,6.76,99,0.99,274.3,0,101.5,,0.086,7.9,-0.1,,,,,,,,,,,
2698,,2018,57,400,,0,-2.95,0,6.77,99,1.14,323,0,101.5,,0.086,7.89,-0.12,,,,,,,,,,,
2699,,2018,57,430,,0,-3.39,0,6.82,99,1.72,284.2,0,101.6,,0.085,7.88,-0.15,,,,,,,,,,,
2700,,2018,57,500,,0,-6.41,0,6.83,99,1.37,218.6,0,101.6,,0.085,7.87,-0.19,,,,,,,,,,,
2701,,2018,57,530,,0,-9.03,0,6.82,98.9,1.34,279.3,0,101.6,,0.085,7.83,-0.26,,,,,,,,,,,
2702,,2018,57,600,,0,-27.42,0,6.75,99,1.19,300.3,0,101.7,,0.084,7.8,-0.42,,,,,,,,,,,
2703,,2018,57,630,,0,-34.43,0,6.56,99,1.19,263.1,0,101.7,,0.084,7.77,-0.69,,,,,,,,,,,
2704,,2018,57,700,,0,-27.59,0,6.47,99,1.58,231.9,0,101.7,,0.084,7.73,-1.04,,,,,,,,,,,
2705,,2018,57,730,,0.2,-32.06,0.6,6.42,99,1.4,217.6,0,101.7,,0.084,7.71,-1.41,,,,,,,,,,,
2706,,2018,57,800,,5.7,-18.62,11.8,6.35,99,1.04,267.5,0,101.8,,0.084,7.7,-1.68,,,,,,,,,,,
2707,,2018,57,830,,11.2,-5.56,22.9,6.37,99,1.55,250.8,0,101.9,,0.083,7.7,-1.82,,,,,,,,,,,
2708,,2018,57,900,,27.5,4.34,55,6.5,98.9,1.36,0.4,0,101.9,,0.083,7.71,-1.78,,,,,,,,,,,
2709,,2018,57,930,,45.2,16.23,91.6,6.64,98.6,1.46,329.5,0,101.9,,0.083,7.71,-1.56,,,,,,,,,,,
2710,,2018,57,1000,,50.6,-22.18,105.1,6.89,95.4,1.82,316.9,0,101.9,,0.083,7.74,-1.24,,,,,,,,,,,
2711,,2018,57,1030,,70.7,-18.08,150,7.01,90.1,1.52,323.6,0,101.9,,0.083,7.78,-0.84,,,,,,,,,,,
2712,,2018,57,1100,,104,54.09,209.7,7.16,86.7,1.25,285.1,0,101.9,,0.083,7.82,-0.39,,,,,,,,,,,
2713,,2018,57,1130,,141.9,85.9,285.3,7.34,81.4,1.25,315.7,0,101.8,,0.082,7.89,0.18,,,,,,,,,,,
2714,,2018,57,1200,,203.9,134.3,407.3,7.84,77.7,1.44,335.5,0,101.8,,0.083,7.95,0.89,,,,,,,,,,,
2715,,2018,57,1230,,239,165.6,485.2,8.22,71.5,2.11,296.5,0,101.8,,0.082,8.02,1.65,,,,,,,,,,,
2716,,2018,57,1300,,267,183.4,542.6,8.34,63.6,2.36,288.7,0,101.8,,0.082,8.07,2.42,,,,,,,,,,,
2717,,2018,57,1330,,224,150.6,463.9,8.35,60,1.89,253.7,0,101.8,,0.082,8.15,3.04,,,,,,,,,,,
2718,,2018,57,1400,,229.6,156.8,472.5,8.43,60,1.22,28.7,0,101.8,,0.082,8.23,3.54,,,,,,,,,,,
2719,,2018,57,1430,,246,168,510.3,8.68,59.9,1.55,323.7,0,101.8,,0.081,8.3,3.97,,,,,,,,,,,
2720,,2018,57,1500,,285.4,193.6,580.6,8.95,59.4,1.45,303.8,0,101.8,,0.081,8.36,4.41,,,,,,,,,,,
2721,,2018,57,1530,,265.2,174.6,540,9.63,48.8,1.83,303.9,0,101.8,,0.081,8.4,4.77,,,,,,,,,,,
2722,,2018,57,1600,,271.3,172.7,545.1,9.92,45.6,2.5,294.5,0,101.9,,0.081,8.42,5.02,,,,,,,,,,,
2723,,2018,57,1630,,178.6,103.9,362.2,9.89,42.8,2.91,306.7,0,101.9,,0.081,8.44,4.99,,,,,,,,,,,
2724,,2018,57,1700,,146.6,78.4,289.8,9.68,41.8,2.21,313.6,0,102,,0.08,8.41,4.76,,10.28,0.657,,-1.845,,-1.845,410.01,,28.515,88.064
2725,,2018,57,1730,,94.3,39.22,186.8,9.52,45,2.13,278,0,102,,0.08,8.39,4.33,,10.16,0.547,,-0.528,-0.768,0.24,411.51,,2.725,65.017
2726,,2018,57,1800,,47.2,1.47,87.1,9.17,45.9,1.87,332.1,0,102,,0.08,8.34,3.76,,9.87,0.492,,1.118,-0.538,1.657,412.21,,-23.175,36.902
2727,,2018,57,1830,,27.8,-21.68,55.9,8.87,48,1.71,271.4,0,102.1,,0.079,8.28,3.06,,9.61,0.299,,0.831,-0.197,1.029,412.22,,-25.204,27.955
2728,,2018,57,1900,,5.3,-29.63,8.6,8.42,50.7,1.43,2.4,0,102.1,,0.079,8.17,2.25,,9.22,0.236,,0.678,-1.073,1.75,413.97,,-16.995,16.159
2729,,2018,57,1930,,0.2,-62.87,0.3,7.47,57.2,1.03,232.5,0,102.1,,0.078,8.07,1.25,,8.53,0.07,,0.23,-1.41,,415.73,,-8.393,2.028
2730,,2018,57,2000,,0,-66.47,0,6.8,57.9,1.62,288.5,0,102.2,,0.078,7.96,0.11,,7.92,0.168,,0.248,-1.394,,417.85,,-19.933,6.291
2731,,2018,57,2030,,0,-66.39,0,6.39,58,1.54,273.2,0,102.2,,0.078,7.85,-1.13,,7.58,0.138,,0.203,-0.326,,417.97,,-16.424,1.192
2732,,2018,57,2100,,0,-65.22,-0.1,6.08,58.2,1.91,279.1,0,102.2,,0.078,7.74,-2.33,,7.25,0.16,,0.133,-0.658,,418.98,,-22.352,4.667
2733,,2018,57,2130,,0,-65.26,0,5.73,58,1.27,297,0,102.2,,0.078,7.62,-3.39,,6.84,0.12,,0.054,-0.773,,420.17,,-13.384,2.002
2734,,2018,57,2200,,-0.1,-61.75,-0.1,4.69,63.6,1.51,267.8,0,102.2,,0.078,7.52,-4.28,,6.01,0.145,,-0.092,-1.489,,421.89,,-18.555,-0.551
2735,,2018,57,2230,,-0.1,-60.96,-0.2,4.9,61.7,1.53,263.2,0,102.2,,0.077,7.41,-5.01,,6.07,0.151,,0.248,-0.173,,422.59,,-19.147,1.101
2736,,2018,57,2300,,-0.1,-61.27,-0.2,4.85,62.1,1.63,245.9,0,102.3,,0.077,7.32,-5.61,,5.98,0.117,,-0.529,-1.504,,425.86,,-13.324,0.74
2737,,2018,57,2330,,-0.1,-60.57,-0.2,4.45,63.7,1.69,247.5,0,102.3,,0.077,7.22,-6.12,,5.55,0.152,,0.068,-1.92,,429.5,,-17.967,-0.011
2738,,2018,57,2400,,-0.1,-60.17,-0.2,4.35,64.2,1.68,252.1,0,102.4,,0.077,7.13,-6.53,,5.44,0.18,,0.343,-0.149,,429.68,,-20.439,0.285
2739,,2018,58,30,,-0.1,-60.07,-0.2,4.11,65.1,1.46,246.5,0,102.4,,0.077,7.04,-6.89,,5.24,0.153,,0.227,-0.719,,430.9,,-18.29,0.739
2740,,2018,58,100,,-0.1,-59.75,-0.2,3.81,66.4,1.33,244.1,0,102.4,,0.077,6.96,-7.2,,4.95,0.132,,0.233,-0.032,,430.49,,-11.144,-0.36
2741,,2018,58,130,,-0.2,-59.28,-0.3,3.27,69.1,1.53,268.9,0,102.4,,0.077,6.87,-7.49,,4.33,0.17,,0.173,-0.281,,430.28,,-19.155,0.544
2742,,2018,58,200,,-0.2,-59.18,-0.3,2.76,72.5,1.66,277.5,0,102.5,,0.077,6.79,-7.75,,3.83,0.141,,0.071,-1.324,,432.39,,-15.285,1.428
2743,,2018,58,230,,-0.3,-61.56,-0.5,2.24,75.9,1.74,263.4,0,102.5,,0.077,6.71,-7.99,,3.46,0.208,,-1.067,-2.681,1.614,437.48,,-30.281,-0.113
2744,,2018,58,300,,-0.3,-64.35,-0.6,1.91,77.6,1.47,286.9,0,102.5,,0.076,6.63,-8.21,,3.12,0.193,,0.489,-3.03,,443.6,,-28.969,2.044
2745,,2018,58,330,,-0.3,-66.67,-0.6,1.7,77.9,1.19,297.2,0,102.5,,0.076,6.55,-8.43,,2.77,0.238,,0.83,-0.91,1.74,445.26,,-34.067,-1.944
2746,,2018,58,400,,-0.3,-65.26,-0.6,1.02,80.7,1.17,314.5,0,102.5,,0.076,6.48,-8.63,,2.24,0.227,,,,,,,-37.825,-4.029
2747,,2018,58,430,,-0.3,-66.25,-0.5,1.35,75.6,0.93,313.9,0,102.5,,0.076,6.4,-8.82,,2.5,0.19,,-2.075,,,,,-21.244,-4.033
2748,,2018,58,500,,-0.2,-66.69,-0.6,1.4,73.4,0.95,332.8,0,102.6,,0.076,6.33,-8.99,,2.69,0.172,,1.871,,,,,-25.815,1.435
2749,,2018,58,530,,-0.3,-65.41,-0.5,1.55,69.5,1,297.5,0,102.6,,0.076,6.26,-9.16,,2.7,0.145,,-0.774,,,,,-15.436,-5.137
2750,,2018,58,600,,-0.2,-65.45,-0.5,1.37,66.2,1.29,329.1,0,102.6,,0.076,6.19,-9.32,,2.75,0.226,,-5.727,,-5.727,,,-41.991,-22.424
2751,,2018,58,630,,-0.3,-65.66,-0.5,1.74,62.6,1.18,339.2,0,102.7,,0.076,6.13,-9.47,,3.01,0.214,,-1.263,,-1.263,,,-43.664,-4.76
2752,,2018,58,700,,-0.3,-64.08,-0.5,2.16,59.1,1.19,286.3,0,102.7,,0.075,6.07,-9.59,,3.42,0.182,,0.71,,,,,-42.421,2.171
2753,,2018,58,730,,0.6,-62.72,0.8,2.21,57.6,1.16,286.1,0,102.7,,0.075,6.02,-9.7,,3.3,0.232,,1.185,,1.185,,,-34.802,-2.054
2754,,2018,58,800,,18,-48.71,31.9,1.52,63.2,1.13,298,0,102.7,,0.075,6,-9.79,,2.58,0.117,,-0.11,,,,,-20.953,0.136
2755,,2018,58,830,,92,-2.22,153.9,1.88,59.2,1.26,305.2,0,102.7,,0.075,5.99,-9.82,,3,0.163,,1.91,,,,,-12.005,-0.613
2756,,2018,58,900,,186,55.75,331,2.8,54.7,1.63,292.2,0,102.7,,0.075,6.02,-9.79,,3.69,0.24,,,,,,,0.525,5.37
2757,,2018,58,930,,277.5,124.4,515.1,3.62,51.8,1.55,315,0,102.7,,0.075,6.1,-9.68,,4.52,0.324,,2.484,,2.484,425.17,,21.363,35.176
2758,,2018,58,1000,,369.3,197.4,701,4.62,47.3,1.35,121.6,0,102.7,,0.076,6.21,-9.39,,5.63,0.432,,-2.706,1.786,-4.493,422.74,,114.281,
2759,,2018,58,1030,,454,265.1,871,5.84,43,1.35,295.5,0,102.6,,0.076,6.37,-8.7,,6.67,0.331,,1.31,1.696,-0.386,420.82,,97.077,
2760,,2018,58,1100,,527,322.8,1019,7.08,39.8,1,269.5,0,102.6,,0.076,6.61,-7.41,,7.88,0.308,,-2.699,1.951,-4.65,418.34,,190.194,
2761,,2018,58,1130,,587.7,372,1148,8.02,38.3,1.17,241.3,0,102.5,,0.077,6.8,-5.52,,8.63,0.328,,-2.381,0.98,-3.361,417.54,,149.35,
2762,,2018,58,1200,,633.2,404.9,1250,8.76,36.5,1.41,303.1,0,102.5,,0.077,6.93,-3.18,,9.36,0.238,,-2.071,0.595,-2.667,417.3,,172.238,
2763,,2018,58,1230,,668,440.8,1318,9.64,35.8,1.26,241.8,0,102.4,,0.077,7.23,-0.72,,10.21,0.361,,-2.217,1.086,-3.304,416.15,,255.7,
2764,,2018,58,1300,,689.1,452.2,1359,10.19,33.5,1.61,309.5,0,102.4,,0.076,7.33,1.8,,10.68,0.554,,-2.39,0.191,-2.581,416.53,,271.56,
2765,,2018,58,1330,,693.7,456.5,1366,10.74,32.5,1.77,293.5,0,102.3,,0.076,7.45,3.93,,11.07,0.45,,-3.569,0.378,-3.946,416.48,,282.489,
2766,,2018,58,1400,,682.8,447.9,1347,11.09,31.5,2.15,245.5,0,102.3,,0.076,7.52,5.11,,11.42,0.593,,-2.668,1.259,-3.926,414.14,,213.417,
2767,,2018,58,1430,,656.5,423.4,1296,11.31,29.8,2.17,285.5,0,102.3,,0.076,7.71,6.18,,11.61,0.429,,-1.997,0.666,-2.663,412.95,,202.23,
